
"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"Principales índices mensuales"

"Fecha de consulta: 18/03/2026 02:49:47"

"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas."

"Título","IPC Por objeto del gasto Nacional, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1969 - Feb 2026"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jul 2018"
"Aviso","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011."
"Tipo de información","Índices"
"Fecha","SP1"
01/01/1969,0.011595000000
01/02/1969,0.011636000000
01/03/1969,0.011648000000
01/04/1969,0.011680000000
01/05/1969,0.011680000000
01/06/1969,0.011721000000
01/07/1969,0.011766000000
01/08/1969,0.011779000000
01/09/1969,0.011889000000
01/10/1969,0.012014000000
01/11/1969,0.012015000000
01/12/1969,0.012106000000
01/01/1970,0.012198000000
01/02/1970,0.012196000000
01/03/1970,0.012232000000
01/04/1970,0.012248000000
01/05/1970,0.012274000000
01/06/1970,0.012348000000
01/07/1970,0.012409000000
01/08/1970,0.012466000000
01/09/1970,0.012496000000
01/10/1970,0.012500000000
01/11/1970,0.012568000000
01/12/1970,0.012674000000
01/01/1971,0.012799000000
01/02/1971,0.012852000000
01/03/1971,0.012901000000
01/04/1971,0.012967000000
01/05/1971,0.012994000000
01/06/1971,0.013053000000
01/07/1971,0.013043000000
01/08/1971,0.013162000000
01/09/1971,0.013205000000
01/10/1971,0.013218000000
01/11/1971,0.013240000000
01/12/1971,0.013303000000
01/01/1972,0.013362000000
01/02/1972,0.013403000000
01/03/1972,0.013476000000
01/04/1972,0.013561000000
01/05/1972,0.013588000000
01/06/1972,0.013689000000
01/07/1972,0.013740000000
01/08/1972,0.013831000000
01/09/1972,0.013894000000
01/10/1972,0.013904000000
01/11/1972,0.013994000000
