
"Banco de México"

"Tasas y precios de referencia"
"Tasas de Interés Interbancarias,  Fondeo y Pagaré Bancario Bursátil"

"Fecha de consulta: 15/03/2026 03:15:47"

""

"Título","TIIE de fondeo a 1 día, Tasa de interés promedio mensual, en por ciento anual","TIIE a 28 días, Tasa de interés promedio mensual, en por ciento anual","TIIE a 91 días, Tasa de interés promedio mensual, en por ciento anual","TIIE a 182 días, Tasa de interés promedio mensual, en por ciento anual","TIIP a 28 días (Serie histórica), Tasa de interés promedio mensual, en por ciento anual"
"Periodo disponible","Ene 2006 - Feb 2026","Ene 1995 - Feb 2026","Ene 1997 - Feb 2026","Abr 2011 - Feb 2026","Ene 1993 - Dic 2001"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes"
"Unidad","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes"
"Base","","","","",""
"Aviso","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SF331450","SF283","SF17801","SF221962","SF284"
01/01/1993,N/E,N/E,N/E,N/E,22.52
01/02/1993,N/E,N/E,N/E,N/E,22.34
01/03/1993,N/E,N/E,N/E,N/E,20.01
01/04/1993,N/E,N/E,N/E,N/E,20.26
01/05/1993,N/E,N/E,N/E,N/E,19.75
01/06/1993,N/E,N/E,N/E,N/E,18.13
01/07/1993,N/E,N/E,N/E,N/E,17.13
01/08/1993,N/E,N/E,N/E,N/E,16.36
01/09/1993,N/E,N/E,N/E,N/E,16.33
01/10/1993,N/E,N/E,N/E,N/E,15.78
01/11/1993,N/E,N/E,N/E,N/E,17.17
01/12/1993,N/E,N/E,N/E,N/E,13.69
01/01/1994,N/E,N/E,N/E,N/E,11.75
01/02/1994,N/E,N/E,N/E,N/E,10.52
01/03/1994,N/E,N/E,N/E,N/E,11.24
01/04/1994,N/E,N/E,N/E,N/E,19.17
01/05/1994,N/E,N/E,N/E,N/E,20.24
01/06/1994,N/E,N/E,N/E,N/E,18.89
01/07/1994,N/E,N/E,N/E,N/E,21.18
01/08/1994,N/E,N/E,N/E,N/E,18.46
01/09/1994,N/E,N/E,N/E,N/E,17.82
01/10/1994,N/E,N/E,N/E,N/E,17.46
01/11/1994,N/E,N/E,N/E,N/E,19.29
01/12/1994,N/E,N/E,N/E,N/E,28.02
01/01/1995,N/E,N/E,N/E,N/E,46.12
01/02/1995,N/E,N/E,N/E,N/E,54.02
01/03/1995,N/E,89.48,N/E,N/E,86.03
01/04/1995,N/E,85.22,N/E,N/E,85.33
01/05/1995,N/E,60.45,N/E,N/E,60.53
01/06/1995,N/E,49.50,N/E,N/E,49.49
01/07/1995,N/E,43.00,N/E,N/E,42.92
01/08/1995,N/E,37.60,N/E,N/E,37.57
01/09/1995,N/E,35.48,N/E,N/E,35.48
01/10/1995,N/E,42.61,N/E,N/E,42.57
01/11/1995,N/E,57.43,N/E,N/E,57.21
01/12/1995,N/E,51.36,N/E,N/E,51.34
01/01/1996,N/E,42.66,N/E,N/E,42.66
01/02/1996,N/E,40.11,N/E,N/E,40.12
01/03/1996,N/E,42.93,N/E,N/E,43.56
01/04/1996,N/E,36.61,N/E,N/E,36.93
01/05/1996,N/E,30.31,N/E,N/E,30.16
01/06/1996,N/E,30.11,N/E,N/E,30.09
01/07/1996,N/E,33.49,N/E,N/E,33.46
01/08/1996,N/E,29.36,N/E,N/E,29.54
01/09/1996,N/E,26.82,N/E,N/E,26.64
01/10/1996,N/E,28.68,N/E,N/E,29.71
01/11/1996,N/E,32.28,N/E,N/E,31.89
01/12/1996,N/E,29.92,N/E,N/E,29.65
01/01/1997,N/E,25.96,25.38,N/E,25.87
01/02/1997,N/E,22.11,23.54,N/E,22.24
01/03/1997,N/E,23.95,23.73,N/E,24.04
01/04/1997,N/E,23.98,23.97,N/E,23.80
01/05/1997,N/E,20.65,21.73,N/E,20.59
01/06/1997,N/E,22.53,22.41,N/E,22.50
01/07/1997,N/E,20.50,20.73,N/E,20.48
01/08/1997,N/E,20.64,21.27,N/E,20.66
01/09/1997,N/E,20.23,21.27,N/E,20.03
01/10/1997,N/E,19.70,20.47,N/E,19.38
01/11/1997,N/E,22.17,22.55,N/E,21.82
01/12/1997,N/E,20.48,20.48,N/E,20.41
01/01/1998,N/E,19.74,19.95,N/E,19.47
01/02/1998,N/E,20.52,20.67,N/E,20.61
01/03/1998,N/E,21.69,21.83,N/E,21.71
01/04/1998,N/E,20.55,20.44,N/E,20.41
01/05/1998,N/E,19.90,20.27,N/E,20.17
01/06/1998,N/E,21.47,21.79,N/E,21.10
01/07/1998,N/E,21.88,22.66,N/E,21.75
01/08/1998,N/E,25.78,27.20,N/E,25.33
01/09/1998,N/E,42.04,40.35,N/E,41.55
01/10/1998,N/E,37.65,38.69,N/E,37.49
01/11/1998,N/E,34.78,35.56,N/E,34.64
01/12/1998,N/E,36.69,36.29,N/E,36.60
01/01/1999,N/E,35.80,35.45,N/E,36.27
01/02/1999,N/E,32.21,31.35,N/E,31.97
01/03/1999,N/E,26.87,26.37,N/E,26.46
01/04/1999,N/E,22.54,22.99,N/E,22.49
01/05/1999,N/E,22.52,23.26,N/E,22.42
01/06/1999,N/E,23.60,23.77,N/E,23.68
01/07/1999,N/E,22.11,22.98,N/E,22.20
01/08/1999,N/E,23.13,24.36,N/E,23.20
01/09/1999,N/E,22.04,23.43,N/E,22.05
01/10/1999,N/E,20.63,22.41,N/E,20.40
01/11/1999,N/E,19.01,20.09,N/E,18.94
01/12/1999,N/E,18.75,19.06,N/E,18.67
01/01/2000,N/E,18.55,18.69,N/E,18.58
01/02/2000,N/E,18.15,18.12,N/E,18.20
01/03/2000,N/E,15.77,15.86,N/E,15.75
01/04/2000,N/E,14.74,15.10,N/E,14.78
01/05/2000,N/E,15.92,16.77,N/E,15.92
01/06/2000,N/E,17.44,17.73,N/E,17.41
01/07/2000,N/E,15.13,15.40,N/E,15.01
01/08/2000,N/E,16.62,16.84,N/E,16.66
01/09/2000,N/E,16.77,17.13,N/E,16.84
01/10/2000,N/E,17.38,17.99,N/E,17.47
01/11/2000,N/E,18.64,18.76,N/E,18.63
01/12/2000,N/E,18.39,18.39,N/E,18.39
01/01/2001,N/E,18.62,18.86,N/E,18.81
01/02/2001,N/E,18.12,18.36,N/E,18.22
01/03/2001,N/E,17.28,17.22,N/E,17.22
01/04/2001,N/E,16.36,16.31,N/E,16.37
01/05/2001,N/E,14.09,14.22,N/E,14.03
01/06/2001,N/E,11.64,11.90,N/E,11.55
01/07/2001,N/E,11.10,11.60,N/E,11.02
01/08/2001,N/E,9.29,10.22,N/E,9.38
01/09/2001,N/E,10.95,12.19,N/E,11.08
01/10/2001,N/E,10.34,11.16,N/E,10.35
01/11/2001,N/E,8.90,10.21,N/E,8.94
01/12/2001,N/E,7.94,8.87,N/E,7.96
01/01/2002,N/E,7.97,8.44,N/E,N/E
01/02/2002,N/E,8.99,9.06,N/E,N/E
01/03/2002,N/E,8.47,8.61,N/E,N/E
01/04/2002,N/E,6.85,7.12,N/E,N/E
01/05/2002,N/E,7.73,7.63,N/E,N/E
01/06/2002,N/E,8.42,8.65,N/E,N/E
01/07/2002,N/E,8.34,8.73,N/E,N/E
01/08/2002,N/E,7.61,7.95,N/E,N/E
01/09/2002,N/E,8.37,8.74,N/E,N/E
01/10/2002,N/E,8.67,9.10,N/E,N/E
01/11/2002,N/E,8.33,8.73,N/E,N/E
01/12/2002,N/E,8.26,8.64,N/E,N/E
01/01/2003,N/E,9.14,9.38,N/E,N/E
01/02/2003,N/E,9.91,9.85,N/E,N/E
01/03/2003,N/E,9.96,10.04,N/E,N/E
01/04/2003,N/E,8.58,8.70,N/E,N/E
01/05/2003,N/E,5.92,6.74,N/E,N/E
01/06/2003,N/E,5.79,6.19,N/E,N/E
01/07/2003,N/E,5.30,5.70,N/E,N/E
01/08/2003,N/E,4.97,5.54,N/E,N/E
01/09/2003,N/E,5.05,5.50,N/E,N/E
01/10/2003,N/E,5.60,5.93,N/E,N/E
01/11/2003,N/E,5.35,5.83,N/E,N/E
01/12/2003,N/E,6.40,6.57,N/E,N/E
01/01/2004,N/E,5.36,5.55,N/E,N/E
01/02/2004,N/E,5.79,6.07,N/E,N/E
01/03/2004,N/E,6.49,6.55,N/E,N/E
01/04/2004,N/E,6.17,6.37,N/E,N/E
01/05/2004,N/E,6.95,7.31,N/E,N/E
01/06/2004,N/E,7.02,7.59,N/E,N/E
01/07/2004,N/E,7.11,7.63,N/E,N/E
01/08/2004,N/E,7.50,7.84,N/E,N/E
01/09/2004,N/E,7.78,8.06,N/E,N/E
01/10/2004,N/E,8.05,8.46,N/E,N/E
01/11/2004,N/E,8.60,8.85,N/E,N/E
01/12/2004,N/E,8.93,9.03,N/E,N/E
01/01/2005,N/E,8.97,9.03,N/E,N/E
01/02/2005,N/E,9.47,9.59,N/E,N/E
01/03/2005,N/E,9.78,9.98,N/E,N/E
01/04/2005,N/E,10.01,10.22,N/E,N/E
01/05/2005,N/E,10.12,10.21,N/E,N/E
01/06/2005,N/E,10.01,10.01,N/E,N/E
01/07/2005,N/E,10.01,10.03,N/E,N/E
01/08/2005,N/E,9.98,10.03,N/E,N/E
01/09/2005,N/E,9.65,9.45,N/E,N/E
01/10/2005,N/E,9.41,9.25,N/E,N/E
01/11/2005,N/E,9.17,9.14,N/E,N/E
01/12/2005,N/E,8.72,8.64,N/E,N/E
01/01/2006,8.21,8.41,8.16,N/E,N/E
01/02/2006,7.74,7.97,7.93,N/E,N/E
01/03/2006,7.46,7.68,7.78,N/E,N/E
01/04/2006,7.18,7.51,7.72,N/E,N/E
01/05/2006,7.02,7.32,7.59,N/E,N/E
01/06/2006,7.03,7.33,7.68,N/E,N/E
01/07/2006,7.02,7.31,7.57,N/E,N/E
01/08/2006,7.03,7.30,7.48,N/E,N/E
01/09/2006,7.06,7.31,7.50,N/E,N/E
01/10/2006,7.02,7.31,7.65,N/E,N/E
01/11/2006,7.04,7.30,7.62,N/E,N/E
01/12/2006,7.07,7.34,7.60,N/E,N/E
01/01/2007,7.03,7.41,7.67,N/E,N/E
01/02/2007,7.03,7.46,7.67,N/E,N/E
01/03/2007,7.03,7.46,7.68,N/E,N/E
01/04/2007,7.06,7.47,7.61,N/E,N/E
01/05/2007,7.29,7.70,7.83,N/E,N/E
01/06/2007,7.27,7.70,7.82,N/E,N/E
01/07/2007,7.28,7.70,7.78,N/E,N/E
01/08/2007,7.27,7.71,7.79,N/E,N/E
01/09/2007,7.24,7.70,7.77,N/E,N/E
01/10/2007,7.27,7.73,7.78,N/E,N/E
01/11/2007,7.50,7.93,8.01,N/E,N/E
01/12/2007,7.53,7.93,8.00,N/E,N/E
01/01/2008,7.52,7.93,7.99,N/E,N/E
01/02/2008,7.50,7.93,7.93,N/E,N/E
01/03/2008,7.50,7.93,7.94,N/E,N/E
01/04/2008,7.50,7.94,7.96,N/E,N/E
01/05/2008,7.50,7.93,7.96,N/E,N/E
01/06/2008,7.60,8.00,8.10,N/E,N/E
01/07/2008,7.86,8.28,8.49,N/E,N/E
01/08/2008,8.12,8.56,8.71,N/E,N/E
01/09/2008,8.25,8.66,8.74,N/E,N/E
01/10/2008,7.75,8.68,8.76,N/E,N/E
01/11/2008,7.93,8.73,8.83,N/E,N/E
01/12/2008,8.25,8.74,8.82,N/E,N/E
01/01/2009,7.99,8.41,8.41,N/E,N/E
01/02/2009,7.68,7.94,7.86,N/E,N/E
01/03/2009,7.22,7.64,7.54,N/E,N/E
01/04/2009,6.39,6.68,6.50,N/E,N/E
01/05/2009,5.58,5.78,5.65,N/E,N/E
01/06/2009,5.06,5.26,5.18,N/E,N/E
01/07/2009,4.65,4.92,4.91,N/E,N/E
01/08/2009,4.49,4.89,4.95,N/E,N/E
01/09/2009,4.51,4.91,5.00,N/E,N/E
01/10/2009,4.52,4.91,5.00,N/E,N/E
01/11/2009,4.58,4.93,5.08,N/E,N/E
01/12/2009,4.59,4.93,5.07,N/E,N/E
01/01/2010,4.58,4.91,5.06,N/E,N/E
01/02/2010,4.64,4.92,5.03,N/E,N/E
01/03/2010,4.56,4.92,5.03,N/E,N/E
01/04/2010,4.60,4.94,5.03,N/E,N/E
01/05/2010,4.60,4.94,5.04,N/E,N/E
01/06/2010,4.59,4.94,5.01,N/E,N/E
01/07/2010,4.61,4.92,5.01,N/E,N/E
01/08/2010,4.60,4.90,4.99,N/E,N/E
01/09/2010,4.56,4.90,4.98,N/E,N/E
01/10/2010,4.52,4.87,4.95,N/E,N/E
01/11/2010,4.56,4.87,4.92,N/E,N/E
01/12/2010,4.61,4.89,4.95,N/E,N/E
01/01/2011,4.55,4.86,4.92,N/E,N/E
01/02/2011,4.52,4.84,4.88,N/E,N/E
01/03/2011,4.49,4.84,4.87,N/E,N/E
01/04/2011,4.50,4.85,4.88,4.98,N/E
01/05/2011,4.47,4.85,4.88,4.96,N/E
01/06/2011,4.49,4.85,4.89,4.95,N/E
01/07/2011,4.47,4.82,4.86,4.90,N/E
01/08/2011,4.44,4.81,4.85,4.87,N/E
01/09/2011,4.37,4.78,4.80,4.81,N/E
01/10/2011,4.37,4.79,4.81,4.80,N/E
01/11/2011,4.41,4.80,4.81,4.80,N/E
01/12/2011,4.50,4.80,4.81,4.81,N/E
01/01/2012,4.48,4.79,4.80,4.81,N/E
01/02/2012,4.50,4.78,4.80,4.81,N/E
01/03/2012,4.50,4.77,4.79,4.81,N/E
01/04/2012,4.48,4.74,4.76,4.77,N/E
01/05/2012,4.51,4.76,4.78,4.80,N/E
01/06/2012,4.49,4.76,4.78,4.79,N/E
01/07/2012,4.48,4.78,4.79,4.81,N/E
01/08/2012,4.49,4.79,4.80,4.81,N/E
01/09/2012,4.50,4.80,4.82,4.83,N/E
01/10/2012,4.50,4.82,4.84,4.86,N/E
01/11/2012,4.50,4.84,4.86,4.90,N/E
01/12/2012,4.51,4.84,4.86,4.89,N/E
01/01/2013,4.49,4.84,4.86,4.86,N/E
01/02/2013,4.49,4.82,4.82,4.81,N/E
01/03/2013,4.15,4.48,4.49,4.44,N/E
01/04/2013,4.02,4.33,4.34,4.35,N/E
01/05/2013,4.02,4.32,4.32,4.28,N/E
01/06/2013,4.02,4.30,4.31,4.31,N/E
01/07/2013,4.01,4.32,4.32,4.32,N/E
01/08/2013,4.01,4.31,4.31,4.31,N/E
01/09/2013,3.82,4.10,4.11,4.10,N/E
01/10/2013,3.72,3.98,3.97,3.90,N/E
01/11/2013,3.57,3.79,3.79,3.79,N/E
01/12/2013,3.62,3.79,3.79,3.81,N/E
01/01/2014,3.50,3.78,3.80,3.82,N/E
01/02/2014,3.52,3.79,3.80,3.82,N/E
01/03/2014,3.51,3.80,3.81,3.83,N/E
01/04/2014,3.53,3.81,3.81,3.83,N/E
01/05/2014,3.53,3.80,3.82,3.83,N/E
01/06/2014,3.15,3.43,3.44,3.46,N/E
01/07/2014,3.02,3.30,3.31,3.32,N/E
01/08/2014,3.05,3.30,3.31,3.32,N/E
01/09/2014,3.02,3.29,3.30,3.30,N/E
01/10/2014,3.04,3.29,3.30,3.31,N/E
01/11/2014,3.05,3.29,3.30,3.31,N/E
01/12/2014,3.08,3.30,3.31,3.36,N/E
01/01/2015,3.04,3.30,3.31,3.35,N/E
01/02/2015,3.06,3.30,3.31,3.38,N/E
01/03/2015,3.07,3.30,3.33,3.44,N/E
01/04/2015,3.04,3.30,3.31,3.41,N/E
01/05/2015,3.02,3.30,3.31,3.38,N/E
01/06/2015,3.10,3.30,3.31,3.39,N/E
01/07/2015,3.10,3.30,3.32,3.40,N/E
01/08/2015,3.08,3.32,3.35,3.52,N/E
01/09/2015,3.07,3.33,3.36,3.59,N/E
01/10/2015,3.04,3.31,3.32,3.48,N/E
01/11/2015,3.07,3.32,3.38,3.54,N/E
01/12/2015,3.24,3.42,3.50,3.64,N/E
01/01/2016,3.28,3.56,3.59,3.69,N/E
01/02/2016,3.49,3.75,3.78,3.90,N/E
01/03/2016,3.79,4.06,4.11,4.24,N/E
01/04/2016,3.77,4.06,4.12,4.22,N/E
01/05/2016,3.80,4.08,4.14,4.25,N/E
01/06/2016,3.83,4.10,4.21,4.40,N/E
01/07/2016,4.26,4.56,4.66,4.85,N/E
01/08/2016,4.29,4.59,4.69,4.87,N/E
01/09/2016,4.33,4.61,4.72,4.92,N/E
01/10/2016,4.77,5.11,5.19,5.31,N/E
01/11/2016,5.00,5.34,5.59,5.89,N/E
01/12/2016,5.57,5.84,6.02,6.27,N/E
01/01/2017,5.77,6.13,6.28,6.57,N/E
01/02/2017,6.13,6.44,6.57,6.80,N/E
01/03/2017,6.31,6.63,6.78,6.99,N/E
01/04/2017,6.58,6.87,6.93,7.11,N/E
01/05/2017,6.63,6.98,7.05,7.26,N/E
01/06/2017,6.85,7.21,7.31,7.44,N/E
01/07/2017,7.06,7.37,7.38,7.43,N/E
01/08/2017,7.04,7.38,7.39,7.44,N/E
01/09/2017,7.05,7.38,7.39,7.43,N/E
01/10/2017,7.04,7.38,7.40,7.48,N/E
01/11/2017,7.03,7.38,7.41,7.56,N/E
01/12/2017,7.22,7.51,7.56,7.75,N/E
01/01/2018,7.29,7.64,7.70,7.89,N/E
01/02/2018,7.49,7.78,7.84,7.95,N/E
01/03/2018,7.57,7.83,7.86,7.95,N/E
01/04/2018,7.54,7.84,7.86,7.91,N/E
01/05/2018,7.58,7.85,7.89,7.96,N/E
01/06/2018,7.64,7.93,8.02,8.12,N/E
01/07/2018,7.81,8.10,8.15,8.21,N/E
01/08/2018,7.80,8.11,8.14,8.21,N/E
01/09/2018,7.81,8.11,8.17,8.22,N/E
01/10/2018,7.81,8.12,8.17,8.22,N/E
01/11/2018,7.93,8.25,8.37,8.48,N/E
01/12/2018,8.19,8.41,8.50,8.62,N/E
01/01/2019,8.26,8.59,8.62,8.64,N/E
01/02/2019,8.26,8.56,8.57,8.57,N/E
01/03/2019,8.26,8.52,8.52,8.52,N/E
01/04/2019,8.27,8.50,8.50,8.50,N/E
01/05/2019,8.29,8.51,8.51,8.50,N/E
01/06/2019,8.27,8.51,8.52,8.49,N/E
01/07/2019,8.28,8.48,8.45,8.39,N/E
01/08/2019,8.16,8.37,8.33,8.22,N/E
01/09/2019,8.07,8.20,8.11,7.94,N/E
01/10/2019,7.78,8.00,7.89,7.64,N/E
01/11/2019,7.76,7.87,7.70,7.54,N/E
01/12/2019,7.46,7.70,7.56,7.43,N/E
01/01/2020,7.26,7.53,7.44,7.32,N/E
01/02/2020,7.12,7.39,7.30,7.19,N/E
01/03/2020,6.89,7.10,6.98,6.89,N/E
01/04/2020,6.35,6.54,6.43,6.12,N/E
01/05/2020,5.80,6.00,5.93,5.59,N/E
01/06/2020,5.49,5.65,5.64,5.34,N/E
01/07/2020,5.01,5.23,5.20,4.98,N/E
01/08/2020,4.73,4.97,4.95,4.79,N/E
01/09/2020,4.47,4.72,4.71,4.67,N/E
01/10/2020,4.25,4.53,4.53,4.51,N/E
01/11/2020,4.27,4.50,4.49,4.41,N/E
01/12/2020,4.29,4.49,4.48,4.38,N/E
01/01/2021,4.30,4.47,4.44,4.33,N/E
01/02/2021,4.11,4.36,4.33,4.25,N/E
01/03/2021,4.02,4.28,4.24,4.25,N/E
01/04/2021,4.01,4.28,4.25,4.31,N/E
01/05/2021,4.04,4.29,4.26,4.36,N/E
01/06/2021,4.04,4.32,4.31,4.40,N/E
01/07/2021,4.28,4.52,4.58,4.84,N/E
01/08/2021,4.41,4.65,4.71,4.98,N/E
01/09/2021,4.58,4.75,4.80,5.07,N/E
01/10/2021,4.80,4.98,5.06,5.33,N/E
01/11/2021,4.91,5.13,5.27,5.47,N/E
01/12/2021,5.19,5.44,5.62,5.77,N/E
01/01/2022,5.50,5.72,5.87,6.08,N/E
01/02/2022,5.80,6.02,6.18,6.39,N/E
01/03/2022,6.10,6.33,6.57,6.83,N/E
01/04/2022,6.53,6.73,6.98,7.35,N/E
01/05/2022,6.81,7.01,7.38,7.71,N/E
01/06/2022,7.14,7.42,7.84,8.24,N/E
01/07/2022,7.75,8.04,8.35,8.89,N/E
01/08/2022,8.22,8.50,8.81,9.32,N/E
01/09/2022,8.55,8.89,9.22,9.75,N/E
01/10/2022,9.24,9.56,9.90,10.34,N/E
01/11/2022,9.75,10.00,10.39,10.62,N/E
01/12/2022,10.29,10.53,10.82,10.95,N/E
01/01/2023,10.50,10.78,10.94,11.10,N/E
01/02/2023,10.85,11.10,11.27,11.41,N/E
01/03/2023,11.03,11.34,11.51,11.79,N/E
01/04/2023,11.27,11.53,11.64,11.90,N/E
01/05/2023,11.29,11.54,11.59,11.84,N/E
01/06/2023,11.25,11.50,11.51,11.65,N/E
01/07/2023,11.25,11.50,11.50,11.52,N/E
01/08/2023,11.24,11.50,11.50,11.46,N/E
01/09/2023,11.25,11.50,11.51,11.49,N/E
01/10/2023,11.25,11.50,11.51,11.53,N/E
01/11/2023,11.25,11.51,11.51,11.51,N/E
01/12/2023,11.28,11.50,11.50,11.45,N/E
01/01/2024,11.26,11.50,11.66,11.83,N/E
01/02/2024,11.25,11.50,11.65,11.81,N/E
01/03/2024,11.21,11.44,11.61,11.77,N/E
01/04/2024,11.01,11.25,11.41,11.57,N/E
01/05/2024,11.01,11.24,11.40,11.56,N/E
01/06/2024,11.00,11.24,11.39,11.55,N/E
01/07/2024,11.01,11.25,11.40,11.56,N/E
01/08/2024,10.84,11.08,11.23,11.38,N/E
01/09/2024,10.73,10.95,11.14,11.29,N/E
01/10/2024,10.51,10.74,10.89,11.03,N/E
01/11/2024,10.42,10.61,10.80,10.94,N/E
01/12/2024,10.25,10.38,10.64,10.78,N/E
01/01/2025,10.00,10.28,10.38,10.51,N/E
01/02/2025,9.58,9.88,9.96,10.08,N/E
01/03/2025,9.44,9.74,9.82,9.93,N/E
01/04/2025,9.01,9.28,9.35,9.45,N/E
01/05/2025,8.75,9.05,9.12,9.22,N/E
01/06/2025,8.45,8.74,8.80,8.89,N/E
01/07/2025,7.99,8.26,8.31,8.39,N/E
01/08/2025,7.82,8.09,8.14,8.22,N/E
01/09/2025,7.76,8.02,8.07,8.15,N/E
01/10/2025,7.54,7.81,7.86,7.94,N/E
01/11/2025,7.34,7.61,7.66,7.73,N/E
01/12/2025,7.21,7.47,7.52,7.58,N/E
01/01/2026,7.03,7.30,7.34,7.41,N/E
01/02/2026,7.03,7.29,7.33,7.39,N/E

