
"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Tipo de cambio promedio del periodo"

"Fecha de consulta: 15/03/2026 03:24:08"

""

"Título","Tipo de cambio Pesos por dólar E.U.A., Para solventar obligaciones denominadas en moneda extranjera, Fecha de determinación (FIX) Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Para solventar obligaciones denominadas en moneda extranjera, Fecha de publicación en el DOF. Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Para solventar obligaciones denominadas en moneda extranjera, Fecha de liquidación Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario mismo día, Apertura-compra Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario mismo día, Apertura-venta Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario mismo día, Cierre-compra Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario mismo día, Cierre-venta Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario mismo día, Venta-mínimo Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario mismo día, Venta-máximo Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 24 horas, Apertura-compra Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 24 horas, Apertura-venta Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 24 horas, Cierre-compra Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 24 horas, Cierre-venta Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 24 horas, Venta-mínimo Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 24 horas, Venta-máximo Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 48 horas, Apertura-compra Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 48 horas, Apertura-venta Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 48 horas, Cierre-compra Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 48 horas, Cierre-venta Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 48 horas, Venta-mínimo Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 48 horas, Venta-máximo Cotizaciones promedio","Tipo de cambio Pesos por dólar E.U.A., Interbancario 48 horas, Cierre de jornada Cotizaciones promedio"
"Periodo disponible","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1960 - Feb 2026","Ene 1988 - Feb 2026","Ene 1988 - Feb 2026","Ene 1988 - Feb 2026","Ene 1988 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Ene 1983 - Feb 2026","Ene 1991 - Feb 2026","Ene 1991 - Feb 2026","Nov 2021 - Feb 2026"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio"
"Unidad","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar","Pesos por Dólar"
"Base","","","","","","","","","","","","","","","","","","","","","",""
"Aviso","","","","","","","","","","","","","","","","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SF17908","SF18561","SF329","SF17886","SF17887","SF17888","SF17889","SF17890","SF17891","SF17892","SF17893","SF17894","SF17895","SF17896","SF17897","SF17898","SF17899","SF17900","SF17901","SF17902","SF17903","SF345500"
01/01/1968,N/E,N/E,0.0125,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/02/1968,N/E,N/E,0.0125,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
